,year,US_GDP,Intentional_homicides,MX_GDP,MX_GDP_CD,Female_0-14%,Male_0-14%,Male_15-64%,Female_15-64%,Tot_65UP%,Female_65UP%,Tot_0-14%,Tot_15-64%,Above65,Net_migration,Immigration_to_US
0,2017,1.56444443053201,,0.7593845874814209,8910.33317708802,25.9559915586004,27.3849997850322,66.2756584332817,66.67287522595329,6.85734233002885,7.371133215446269,34444709,85861399,8857168,-300000.0,
1,2016,0.835127873254748,19.2639600963009,1.5670866266415802,8450.49401034813,26.352035605847203,27.8142551255868,66.0408343045701,66.48440510864329,6.656335144819139,7.163559285509501,34538104,84512801,8489518,,174534.0
2,2015,2.1251228164427,16.4920513864742,1.9183641014212,9298.24287787114,26.7380732107147,28.212993018091197,65.8148686282791,66.2748344365623,6.48177654137789,6.98709235272307,34585254,83145725,8159970,,158619.0
3,2014,1.70263424692145,16.1083096659518,1.40933167047234,10582.4105262309,27.185099747519196,28.6715958152095,65.5134663583591,65.985086165937,6.32456191193802,6.82981408654385,34689062,81676066,7856472,,134052.0
4,2013,1.13849725844463,18.8214123479123,-0.058379272845329,10400.5631580436,27.6454924136106,29.121492740308398,65.194885165033,65.6452162175268,6.1987325533778606,6.7092913688626306,34775974,80164318,7595677,,135028.0
5,2012,1.50217058249031,21.4908249935175,2.1512779270410403,9940.46856102562,28.116081442439498,29.5710601790658,64.85811407337209,65.268138790345,6.09570735771378,6.615779767215461,34847148,78615819,7365340,-300000.0,146406.0
6,2011,0.816231684370948,22.850781858566698,2.1213584272445902,9912.58236160645,28.5904580525579,30.039967396883,64.497164873728,64.8775648959116,5.9999311277283605,6.53197705153054,34907437,77037261,7145319,,143446.0
7,2010,1.8732549913366399,21.954681640026102,3.4930259305920397,9016.45792714789,29.065026174931198,30.541486578556498,64.1090322915113,64.4904110380778,5.89955291192067,6.444562786991071,34960861,75436787,6921293,,139120.0
8,2009,-3.62412411472206,17.1446785075391,-6.797347220524269,7792.247729681559,29.564587860562895,31.0469506141367,63.719981250506,64.0909926203368,5.79138894042095,6.344419519100269,35000671,73815200,6689357,,164920.0
9,2008,-1.23028216873425,12.322520751011501,-0.480829743140049,9765.717028017909,30.0520159066358,31.5632849936093,63.322066211522504,63.70455179372029,5.681748387446481,6.2434322996439,35012408,72191423,6457978,,189989.0
10,2007,0.815188220500147,7.928549453860019,0.696320208324579,9412.82793948646,30.5298305096509,32.0818778821205,62.9219364740533,63.3266699569812,5.5725953349727595,6.14349953336791,35007154,70597005,6232187,-246002.0,148640.0
11,2006,1.6814164585622,9.49384525057675,2.95729931656987,8859.71535391932,31.013279203681197,32.5912927521382,62.5251109369577,62.9355636625846,5.470260620585379,6.051157133734209,35007595,69062443,6022340,,173749.0
12,2005,2.39704601602841,9.14611987134624,0.915079041884766,8089.40903640424,31.514707617071,33.085370196556894,62.1339128103612,62.5146552389426,5.37886711426265,5.97063714398645,35032014,67605637,5834577,,161445.0
13,2004,2.82965348869607,8.719051514491019,2.6044064756061096,7310.96163086246,31.9050371833318,33.471259693670504,61.8324383459544,62.2004958471504,5.29876826784523,5.8944669695177,34970145,66355990,5669448,,175411.0
14,2003,1.92695687570385,9.54842554489993,0.21254778563437102,6903.94918769848,32.3095565752473,33.858925775627604,61.5192360003857,61.8590181319129,5.2302852203786,5.831425292839871,34945400,65169756,5525297,,115585.0
15,2002,0.8461259531976,9.66694573807667,-1.27411124738923,7398.80102021328,32.718549135116,34.2502611293247,61.1954185512398,61.5051215829016,5.169284242012179,5.77632928198239,34937680,64023490,5394438,-2911437.0,218822.0
16,2001,-0.018489777756713,9.97893915057329,-1.70640278087298,7341.882477822991,33.1125869557754,34.6430986645351,60.8682099627225,61.166989496308794,5.1087423967469405,5.72042354791572,34911535,62890102,5265431,,205560.0
17,2000,2.94029177499525,10.555480256016901,3.47839861088156,6959.388717014879,33.4841679409513,35.0376029914494,60.54171314572229,60.8593497500871,5.04287405642761,5.656482308961579,34844571,61745507,5129595,,173493.0
18,1999,3.48993353202123,12.433804885392098,1.23825745722954,5984.34106789082,33.8441159012369,35.4257735386118,60.2207616014976,60.5778529530676,4.97003910615511,5.578031145695441,34733488,60582113,4984978,,147402.0
19,1998,3.23939248122606,14.078069970007698,3.52538744626656,5327.81190127662,34.186890322237396,35.8061097430464,59.908317038258,60.321572866676995,4.89276134526899,5.49153681108562,34578470,59407888,4835098,,131353.0
20,1997,3.23658668253634,14.1992969608716,5.095808872844599,5143.961120073879,34.5342283723639,36.192242717952396,59.591568517064104,60.0679347989713,4.811100262095441,5.39783682866485,34396392,58205025,4680322,-2354719.0,146833.0
21,1996,2.5953052481089602,15.4541353492245,4.94116758001223,4294.97898334837,34.9200343615461,36.6078920518139,59.2470659830744,59.7794358643999,4.72677337045196,5.300529774053929,34216050,56948473,4522929,,163556.0
22,1995,1.503065305429,16.919404883017002,-7.981587310008511,3828.7170228794503,35.36523668386629,37.069716275660205,58.85859904410751,59.4324919254818,4.64092841620976,5.20227139065192,34055337,55625654,4364588,,89932.0
23,1994,2.7696245956212504,,2.95394983482444,5715.409998603211,35.863502666630104,37.56363278457871,58.423568857328604,59.024540689201295,4.56599344658809,5.11195664416861,33899500,54232991,4216656,,111398.0
